Timestamp, Node, CoreEstimationIn, CoresEstimationDropped, Collusion, NodeDrop, NodeIn, NodeOut
24.5, 0,0, 0,0, 0,0, 0
24.5, 1,0, 0,0, 0,0, 0
24.5, 2,0, 0,0, 0,0, 0
24.5, 3,0, 0,0, 0,0, 0
24.5, 4,0, 0,0, 0,0, 0
24.5, 5,0, 0,0, 0,0, 0
24.5, 6,0, 0,0, 0,0, 0
24.5, 7,0, 0,0, 0,0, 0
24.5, 8,0, 0,0, 0,0, 0
24.5, 9,0, 0,0, 0,0, 0
24.5, 10,0, 0,0, 0,0, 0
24.5, 11,0, 0,0, 0,0, 0
24.5, 12,0, 0,0, 0,0, 0
24.5, 13,0, 0,0, 0,0, 0
24.5, 14,0, 0,0, 0,0, 0
24.5, 15,0, 0,0, 0,0, 0
24.5, 16,0, 0,0, 0,0, 0
24.5, 17,0, 0,0, 0,0, 0
24.5, 18,0, 0,0, 0,0, 0
24.5, 19,0, 0,0, 0,0, 0
24.5, 20,0, 0,0, 0,0, 0
24.5, 21,0, 0,0, 0,0, 0
24.5, 22,0, 0,0, 0,0, 0
24.5, 23,0, 0,0, 0,0, 0
24.5, 24,0, 0,0, 0,0, 0
24.5, 25,0, 0,0, 0,0, 0
24.5, 26,0, 0,0, 0,0, 0
24.5, 27,0, 0,0, 0,0, 0
29.5, 0,0, 0,0, 0,0, 0
29.5, 1,0, 0,0, 0,0, 0
29.5, 2,0, 0,0, 0,0, 0
29.5, 3,0, 0,0, 0,0, 0
29.5, 4,0, 0,0, 0,0, 0
29.5, 5,0, 0,0, 0,0, 0
29.5, 6,0, 0,0, 0,0, 0
29.5, 7,0, 0,0, 0,0, 0
29.5, 8,0, 0,0, 0,0, 0
29.5, 9,0, 0,0, 0,0, 0
29.5, 10,0, 0,0, 0,0, 0
29.5, 11,0, 0,0, 0,0, 0
29.5, 12,0, 0,0, 0,0, 0
29.5, 13,0, 0,0, 0,0, 0
29.5, 14,0, 0,0, 0,0, 0
29.5, 15,0, 0,0, 0,0, 0
29.5, 16,0, 0,0, 0,0, 0
29.5, 17,0, 0,0, 0,0, 0
29.5, 18,0, 0,0, 0,0, 0
29.5, 19,0, 0,0, 0,0, 0
29.5, 20,0, 0,0, 0,0, 0
29.5, 21,0, 0,0, 0,0, 0
29.5, 22,0, 0,0, 0,0, 0
29.5, 23,0, 0,0, 0,0, 0
29.5, 24,0, 0,0, 0,0, 0
29.5, 25,0, 0,0, 0,0, 0
29.5, 26,0, 0,0, 0,0, 0
29.5, 27,0, 0,0, 0,0, 0
34.5, 0,0, 0,0, 0,0, 0
34.5, 1,0, 0,0, 0,0, 0
34.5, 2,0, 0,0, 0,0, 0
34.5, 3,0, 0,0, 0,0, 0
34.5, 4,0, 0,0, 0,0, 0
34.5, 5,0, 0,0, 0,0, 0
34.5, 6,0, 0,0, 0,0, 0
34.5, 7,0, 0,0, 0,0, 0
34.5, 8,0, 0,0, 0,0, 0
34.5, 9,0, 0,0, 0,0, 0
34.5, 10,0, 0,0, 0,0, 0
34.5, 11,0, 0,0, 0,0, 0
34.5, 12,0, 0,0, 0,0, 0
34.5, 13,0, 0,0, 0,0, 0
34.5, 14,0, 0,0, 0,0, 0
34.5, 15,0, 0,0, 0,0, 0
34.5, 16,0, 0,0, 0,0, 0
34.5, 17,0, 0,0, 0,0, 0
34.5, 18,0, 0,0, 0,0, 0
34.5, 19,0, 0,0, 0,0, 0
34.5, 20,0, 0,0, 0,0, 0
34.5, 21,0, 0,0, 0,0, 0
34.5, 22,0, 0,0, 0,0, 0
34.5, 23,0, 0,0, 0,0, 0
34.5, 24,0, 0,0, 0,0, 0
34.5, 25,0, 0,0, 0,0, 0
34.5, 26,0, 0,0, 0,0, 0
34.5, 27,0, 0,0, 0,0, 0
39.5, 0,0, 0,0, 0,0, 0
39.5, 1,0, 0,0, 0,0, 0
39.5, 2,0, 0,0, 0,0, 0
39.5, 3,0, 0,0, 0,0, 0
39.5, 4,0, 0,0, 0,0, 0
39.5, 5,0, 0,0, 0,0, 0
39.5, 6,0, 0,0, 0,0, 0
39.5, 7,0, 0,0, 0,0, 0
39.5, 8,0, 0,0, 0,0, 0
39.5, 9,0, 0,0, 0,0, 0
39.5, 10,0, 0,0, 0,0, 0
39.5, 11,0, 0,0, 0,0, 0
39.5, 12,0, 0,0, 0,0, 0
39.5, 13,0, 0,0, 0,0, 0
39.5, 14,0, 0,0, 0,0, 0
39.5, 15,0, 0,0, 0,0, 0
39.5, 16,0, 0,0, 0,0, 0
39.5, 17,0, 0,0, 0,0, 0
39.5, 18,0, 0,0, 0,0, 0
39.5, 19,0, 0,0, 0,0, 0
39.5, 20,0, 0,0, 0,0, 0
39.5, 21,0, 0,0, 0,0, 0
39.5, 22,0, 0,0, 0,0, 0
39.5, 23,0, 0,0, 0,0, 0
39.5, 24,0, 0,0, 0,0, 0
39.5, 25,0, 0,0, 0,0, 0
39.5, 26,0, 0,0, 0,0, 0
39.5, 27,0, 0,0, 0,0, 0
44.5, 0,0, 0,0, 0,0, 0
44.5, 1,0, 0,0, 0,0, 0
44.5, 2,0, 0,0, 0,0, 0
44.5, 3,0, 0,0, 0,0, 0
44.5, 4,0, 0,0, 0,0, 0
44.5, 5,0, 0,0, 0,0, 0
44.5, 6,0, 0,0, 0,0, 0
44.5, 7,0, 0,0, 0,0, 0
44.5, 8,0, 0,0, 0,0, 0
44.5, 9,0, 0,0, 0,0, 0
44.5, 10,0, 0,0, 0,0, 0
44.5, 11,0, 0,0, 0,0, 0
44.5, 12,0, 0,0, 0,0, 0
44.5, 13,0, 0,0, 0,0, 0
44.5, 14,0, 0,0, 0,0, 0
44.5, 15,0, 0,0, 0,0, 0
44.5, 16,0, 0,0, 0,0, 0
44.5, 17,0, 0,0, 0,0, 0
44.5, 18,0, 0,0, 0,0, 0
44.5, 19,0, 0,0, 0,0, 0
44.5, 20,0, 0,0, 0,0, 0
44.5, 21,0, 0,0, 0,0, 0
44.5, 22,0, 0,0, 0,0, 0
44.5, 23,0, 0,0, 0,0, 0
44.5, 24,0, 0,0, 0,0, 0
44.5, 25,0, 0,0, 0,0, 0
44.5, 26,0, 0,0, 0,0, 0
44.5, 27,0, 0,0, 0,0, 0
49.5, 0,0, 0,0, 0,0, 0
49.5, 1,0, 0,0, 0,0, 0
49.5, 2,0, 0,0, 0,0, 0
49.5, 3,0, 0,0, 0,0, 0
49.5, 4,0, 0,0, 0,0, 0
49.5, 5,0, 0,0, 0,0, 0
49.5, 6,0, 0,0, 0,0, 0
49.5, 7,0, 0,0, 0,0, 0
49.5, 8,0, 0,0, 0,0, 0
49.5, 9,0, 0,0, 0,0, 0
49.5, 10,0, 0,0, 0,0, 0
49.5, 11,0, 0,0, 0,0, 0
49.5, 12,0, 0,0, 0,0, 0
49.5, 13,0, 0,0, 0,0, 0
49.5, 14,0, 0,0, 0,0, 0
49.5, 15,0, 0,0, 0,0, 0
49.5, 16,0, 0,0, 0,0, 0
49.5, 17,0, 0,0, 0,0, 0
49.5, 18,0, 0,0, 0,0, 0
49.5, 19,0, 0,0, 0,0, 0
49.5, 20,0, 0,0, 0,0, 0
49.5, 21,0, 0,0, 0,0, 0
49.5, 22,0, 0,0, 0,0, 0
49.5, 23,0, 0,0, 0,0, 0
49.5, 24,0, 0,0, 0,0, 0
